  Cps/Mbq 161.763   65.991         
  2 b01   b02 b03 b04 b05   b10 b11 b12 b13
 67 134 5.244  67 0.1969 0.4721 0.3131 0  67 0.03225 3.124 1.105 0
 68 136 5.389  68 0.1896 0.5715 0.3485 0  68 0.03029 2.957 1.292 0
 69 138 5.457  69 0.2254 0.5736 0.3692 0  69 0.02065 3.079 1.189 0
 70 140 5.72  70 0.3085 0.6171 0.5701 0  70 0.01958 2.933 1.272 0
 71 142 5.763  71 0.4906 0.5847 0.522 0  71 0.01475 2.921 1.23 0
 72 144 6.669  72 0.8774 0.7223 0.5192 0  72 0.01123 3.334 1.205 0
 73 146 7.509  73 1.489 0.9251 0.6325 0  73 0.009448 3.183 1.271 0
 74 148 8.723  74 2.391 1.053 0.7283 0  74 0.01118 3.198 1.342 0
 75 150 10.51  75 3.608 1.434 0.8022 0  75 0.01362 3.385 1.268 0
 76 152 12.4  76 5.025 1.718 0.9596 0  76 0.008548 3.245 1.441 0
 77 154 14.22  77 6.426 2.228 1.111 0  77 0.007739 3.186 1.26 0
 78 156 16.02  78 7.586 2.659 1.168 0  78 0.008819 3.31 1.283 0
 79 158 16.89  79 8.204 2.539 1.288 0  79 0.007483 3.366 1.482 0
 80 160 17.35  80 8.194 2.584 1.275 0  80 0.01013 3.827 1.456 0
 81 162 16.21  81 7.513 2.379 1.216 0  81 0.01025 3.771 1.32 0
 82 164 14.69  82 6.351 2.09 0.9825 0  82 0.008891 3.684 1.572 0
 83 166 13.23  83 4.969 1.829 0.8914 0  83 0.009222 3.963 1.569 0
 84 168 11.4  84 3.487 1.369 0.7218 0  84 0.01019 4.204 1.604 0
 85 170 10.12  85 2.237 1.23 0.6898 0  85 0.009593 4.401 1.548 0
 86 172 8.414  86 1.358 0.9033 0.5191 0  86 0.008283 4.304 1.321 0
 87 174 8.088  87 0.7577 0.6837 0.3995 0  87 0.01142 4.693 1.543 0
 88 176 7.521  88 0.3808 0.5991 0.4568 0  88 0.008312 4.458 1.619 0
 89 178 7.5  89 0.1885 0.6021 0.4389 0  89 0.01092 4.831 1.429 0
 90 180 7.601  90 0.07781 0.5978 0.3822 0  90 0.01049 5.085 1.448 0
 91 182 7.539  91 0.03511 0.6066 0.5439 0  91 0.01038 4.909 1.433 0
 92 184 6.954  92 0.01643 0.4538 0.4195 0  92 0.009078 4.799 1.257 0
 93 186 6.957  93 0.007161 0.4785 0.3781 0  93 0.01031 4.652 1.432 0
 94 188 6.631  94 0.00524 0.5554 0.3133 0  94 0.00927 4.457 1.291 0
 95 190 6.452  95 0.004119 0.4745 0.4461 0  95 0.008154 4.203 1.316 0
 96 192 6.21  96 0.003185 0.4578 0.4393 0  96 0.007726 4.193 1.109 0
 97 194 6.04  97 0.002848 0.5364 0.4544 0  97 0.00914 3.707 1.331 0
 98 196 5.991  98 0.00199 0.597 0.476 0  98 0.007379 3.952 0.9568 0
 99 198 5.692  99 0.001229 0.576 0.5177 0  99 0.00813 3.671 0.9184 0
 100 200 5.547  100 0.002717 0.6612 0.4483 0  100 0.008307 3.418 1.009 0
 101 202 5.394  101 0.001508 0.4776 0.485 0  101 0.006258 3.475 0.9482 0
 102 204 4.991  102 0.0008119 0.4777 0.4306 0  102 0.00715 3.199 0.8752 0
 103 206 5.09  103 0.001006 0.6662 0.5228 0  103 0.008432 3.109 0.7824 0
 104 208 4.746  104 0.000812 0.5149 0.4851 0  104 0.0061 3.019 0.7201 0
 105 210 5.03  105 0.0005904 0.6284 0.5358 0  105 0.00757 2.996 0.8617 0
 106 212 4.524  106 0.0004785 0.597 0.5292 0  106 0.007821 2.62 0.7701 0
 107 214 4.49  107 0.0007295 0.5843 0.5836 0  107 0.006924 2.603 0.7122 0
 108 216 4.696  108 0.0005719 0.6172 0.5646 0  108 0.006235 2.69 0.8178 0
 109 218 4.738  109 0.0009688 0.6074 0.6933 0  109 0.004711 2.696 0.7353 0
 110 220 4.025  110 0.0007 0.7102 0.5521 0  110 0.005499 2.17 0.5866 0
 111 222 4.237  111 0.0008077 0.5927 0.6041 0  111 0.007528 2.325 0.707 0
 112 224 4.213  112 0.000256 0.697 0.61 0  112 0.004473 2.297 0.6042 0
 113 226 3.893  113 0.0005397 0.5086 0.6319 0  113 0.004734 2.205 0.5419 0
 114 228 3.858  114 0.0007933 0.7118 0.6209 0  114 0.003892 1.934 0.5868 0
 115 230 4.031  115 0.0008543 0.7687 0.7067 0  115 0.005594 1.98 0.5689 0
 116 232 3.875  116 0.0005204 0.7105 0.605 0  116 0.004003 2.001 0.5538 0
 117 234 3.817  117 0.00249 0.7524 0.6415 0  117 0.00313 1.839 0.5787 0
 118 236 3.707  118 0.002119 0.7203 0.5844 0  118 0.003199 1.854 0.5432 0
 119 238 3.95  119 0.002172 0.7963 0.7305 0  119 0.002431 1.939 0.4794 0
 120 240 3.402  120 0.002344 0.6703 0.5731 0  120 0.004233 1.682 0.4697 0
 121 242 3.647  121 0.002626 0.7757 0.7145 0  121 0.002545 1.756 0.3958 0
 122 244 3.3  122 0.002392 0.7534 0.5801 0  122 0.002988 1.604 0.3573 0
 123 246 3.521  123 0.004822 0.7584 0.6724 0  123 0.002341 1.656 0.4272 0
 124 248 3.848  124 0.004226 0.8839 0.7028 0  124 0.003339 1.792 0.4611 0
 125 250 3.403  125 0.004564 0.868 0.7426 0  125 0.002576 1.445 0.3403 0
 126 252 3.616  126 0.002954 0.9774 0.7776 0  126 0.0008828 1.472 0.3849 0
 127 254 3.441  127 0.002981 0.9128 0.6889 0  127 0.001487 1.523 0.3117 0
 128 256 3.216  128 0.004021 0.9378 0.5336 0  128 0.001987 1.412 0.3256 0
 129 258 3.379  129 0.001715 0.9318 0.7937 0  129 0.002224 1.302 0.3471 0
 130 260 3.603  130 0.0018 1.07 0.8339 0  130 0.001153 1.363 0.3328 0
 131 262 3.255  131 0.002744 0.9954 0.7283 0  131 0.0009556 1.263 0.2644 0
 132 264 3.494  132 0.002439 1.079 0.8338 0  132 0.0006649 1.224 0.3542 0
 133 266 3.23  133 0.002246 0.8885 0.6875 0  133 0.001426 1.303 0.3477 0
 134 268 3.292  134 0.002819 0.9572 0.8336 0  134 0.001922 1.203 0.2941 0
 135 270 3.251  135 0.003336 0.8821 0.789 0  135 0.001536 1.181 0.3942 0
 136 272 3.347  136 0.003433 1.028 0.7183 0  136 0.001776 1.245 0.3513 0
 137 274 2.885  137 0.002784 1.037 0.7 0  137 0.0007738 0.9159 0.2288 0
 138 276 3.501  138 0.003434 1.06 0.8896 0  138 0.00154 1.15 0.3974 0
 139 278 3.376  139 0.003492 1.108 0.7797 0  139 0.000973 1.139 0.3445 0
 140 280 3.267  140 0.004619 0.9745 0.8998 0  140 0.001474 1.087 0.3002 0
 141 282 3.118  141 0.003023 1.054 0.839 0  141 0.0002552 0.9653 0.2559 0
 142 284 2.944  142 0.003154 0.9873 0.6973 0  142 0.001497 0.9876 0.2667 0
 143 286 3.087  143 0.004001 1.107 0.814 0  143 0.001327 0.8647 0.2962 0
 144 288 2.996  144 0.004493 0.9786 0.8713 0  144 0.0008627 0.8424 0.2981 0
 145 290 3.103  145 0.003162 1.066 0.8199 0  145 0.0007653 0.9378 0.2755 0
 146 292 3.172  146 0.003324 1.139 0.8081 0  146 0.0005204 0.9353 0.2853 0
 147 294 3.065  147 0.0023 1.048 0.9113 0  147 0.001674 0.8385 0.2634 0
 148 296 2.927  148 0.001892 0.9526 0.897 0  148 0.0006136 0.855 0.2202 0
 149 298 2.997  149 0.003262 0.8923 1.002 0  149 0.0005007 0.9001 0.1983 0
 150 300 2.855  150 0.001953 1.033 0.8478 0  150 0.001222 0.7808 0.1904 0
 151 302 2.832  151 0.002782 1.014 0.8764 0  151 0.0003672 0.7527 0.1859 0
 152 304 2.957  152 0.001299 1.029 0.7866 0  152 0.001125 0.885 0.2538 0
 153 306 3.2  153 0.001689 1.243 0.8313 0  153 0.000838 0.9244 0.1987 0
 154 308 3.146  154 0.002697 1.2 0.8619 0  154 0.001142 0.883 0.1976 0
 155 310 3.131  155 0.003766 1.219 0.9226 0  155 0.0005167 0.7723 0.2119 0
 156 312 3.014  156 0.002633 1.198 0.7922 0  156 0.0004129 0.8141 0.2064 0
 157 314 2.953  157 0.003069 1.158 0.8382 0  157 0.0009621 0.7694 0.1827 0
 158 316 2.992  158 0.003448 1.343 0.7637 0  158 0.0009576 0.7322 0.1488 0
 159 318 3.254  159 0.00436 1.4 0.9316 0  159 0.001231 0.7095 0.207 0
 160 320 3.07  160 0.002547 1.416 0.8185 0  160 0.00125 0.6604 0.1714 0
 161 322 3.056  161 0.002721 1.398 0.8898 0  161 0.0002426 0.5672 0.1975 0
 162 324 3.085  162 0.003027 1.333 0.9773 0  162 0.0005966 0.5598 0.2113 0
 163 326 3.222  163 0.004577 1.609 0.9931 0  163 0.001059 0.459 0.1556 0
 164 328 3.349  164 0.002769 1.499 0.9587 0  164 0.0003418 0.694 0.1941 0
 165 330 3.388  165 0.002288 1.561 1.05 0  165 0.0004989 0.6296 0.1448 0
 166 332 3.079  166 0.003406 1.527 0.8228 0  166 0.0007183 0.561 0.1648 0
 167 334 3.227  167 0.003185 1.674 0.8586 0  167 0.0006252 0.5883 0.1026 0
 168 336 3.446  168 0.003452 1.799 0.9443 0  168 0.00156 0.5714 0.1263 0
 169 338 3.461  169 0.004411 1.797 0.938 0  169 0.000878 0.5771 0.144 0
 170 340 3.616  170 0.004473 1.868 0.9663 0  170 0.001273 0.6097 0.1663 0
 171 342 3.324  171 0.00703 1.744 0.9939 0  171 0.001004 0.4362 0.1415 0
 172 344 3.435  172 0.004041 1.799 0.9917 0  172 0.0005155 0.5499 0.08937 0
 173 346 3.509  173 0.004028 1.83 1.014 0  173 0.001122 0.528 0.1319 0
 174 348 3.277  174 0.004997 1.663 0.9309 0  174 0.001436 0.6028 0.07386 0
 175 350 2.942  175 0.00438 1.514 0.8396 0  175 0.0005314 0.4699 0.1139 0
 176 352 2.959  176 0.004364 1.634 0.7835 0  176 0.0008704 0.4046 0.1308 0
 177 354 3.163  177 0.005186 1.561 0.9239 0  177 0.0005574 0.5112 0.1607 0
 178 356 2.888  178 0.005025 1.41 0.9251 0  178 0.001072 0.4259 0.1209 0
 179 358 2.887  179 0.003992 1.379 0.9448 0  179 0.00101 0.4321 0.1267 0
 180 360 2.716  180 0.003148 1.219 0.9236 0  180 0.001339 0.4376 0.1313 0
 181 362 2.503  181 0.003455 1.105 0.7561 0  181 0.001135 0.5488 0.08948 0
 182 364 2.506  182 0.001372 1.113 0.763 0  182 0.0005051 0.5341 0.09409 0
 183 366 2.531  183 0.001369 0.8847 0.9502 0  183 0.0007914 0.5654 0.1287 0
 184 368 2.25  184 0.0008649 0.7404 0.9072 0  184 0.0005731 0.4774 0.1239 0
 185 370 2.08  185 0.002008 0.6704 0.8027 0  185 0.0004279 0.4884 0.1163 0
 186 372 1.882  186 0.0009849 0.5817 0.8232 0  186 0.0005697 0.3559 0.12 0
 187 374 2.08  187 0.0008187 0.6221 0.9067 0  187 0.0008497 0.4579 0.09206 0
 188 376 1.715  188 0.0005608 0.4463 0.7875 0  188 0.0007115 0.3919 0.08808 0
 189 378 1.867  189 0.00003506 0.455 0.854 0  189 0.001123 0.449 0.1078 0
 190 380 1.848  190 0.0002055 0.4244 0.8687 0  190 0.0008149 0.4701 0.08345 0
 191 382 1.713  191 0.0003872 0.3326 0.8331 0  191 0.0007252 0.4237 0.1222 0
 192 384 1.534  192 0.00002048 0.3892 0.7563 0  192 0.0001692 0.3122 0.07663 0
 193 386 1.934  193 0.0007423 0.3336 1.014 0  193 0.0007303 0.4573 0.1276 0
 194 388 1.62  194 0.000469 0.3044 0.8053 0  194 0.000549 0.4216 0.08765 0
 195 390 1.568  195 0 0.2873 0.7934 0  195 0.0003851 0.3752 0.1122 0
 196 392 1.653  196 0.0007957 0.2332 0.9333 0  196 0.0002442 0.403 0.08256 0
 197 394 1.66  197 0.00003417 0.2973 0.9178 0  197 0.0003823 0.3553 0.08948 0
 198 396 1.601  198 0.0007598 0.3194 0.8162 0  198 0.0001296 0.3827 0.08166 0
 199 398 1.556  199 0.001179 0.2972 0.8392 0  199 0.000262 0.325 0.09296 0
 200 400 1.416  200 0.0001556 0.3074 0.6922 0  200 0.0002983 0.3628 0.05348 0
 201 402 1.635  201 0.0003677 0.3801 0.8333 0  201 0.001157 0.3303 0.08988 0
 202 404 1.725  202 0.000113 0.3972 0.9007 0  202 0.001054 0.3479 0.07846 0
 203 406 1.662  203 0.0009583 0.4382 0.8066 0  203 0.000707 0.327 0.08806 0
 204 408 1.782  204 0.001084 0.5124 0.8716 0  204 0.00101 0.323 0.07242 0
 205 410 1.738  205 0.00109 0.4693 0.9129 0  205 0.000295 0.3047 0.04967 0
 206 412 1.811  206 0.0009563 0.6385 0.7873 0  206 0.00007036 0.3126 0.07122 0
 207 414 2.065  207 0.0008505 0.6252 1.058 0  207 0.0007509 0.3245 0.05633 0
 208 416 2.251  208 0.0009888 0.825 1.004 0  208 0.000421 0.3422 0.07931 0
 209 418 2.119  209 0.001913 0.8567 0.9578 0  209 0.0008115 0.257 0.04506 0
